file_name,download_info,intercept_info
Apple_Environmental_Progress_Report_2023.pdf,Successfully downloaded,success
sustainable-development-report-2023.pdf,Successfully downloaded,success
No link,No link,No link
Google-2023-Environmental-Report.pdf,Successfully downloaded,success
2023-Annual-Report-1.pdf,Successfully downloaded,success
sr-executive-summary.pdf,Successfully downloaded,success
walmart-inc-2023-annual-report.pdf,Successfully downloaded,success
ESG-Report-2022.pdf,"HTTPSConnectionPool(host='api.broadcomfoundation.org', port=443): Read timed out.",success
Citizenship_Report_2023__with_Hyperlink_.pdf,Successfully downloaded,success
No link,No link,No link
novo-nordisk-annual-report-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/novo-nordisk-annual-report-2023.pdf'.
ar23e.pdf,Successfully downloaded,success
5feb0e46-f04b-4d9c-9568-e4a5912db37e.pdf,Successfully downloaded,success
cost-annual-report-final-pdf-from-dfin.pdf,Successfully downloaded,success
Annual-report-for-2023.pdf,Successfully downloaded,success
novartis-annual-report-2023.pdf,Successfully downloaded,success
purpose-report-2023.pdf,Successfully downloaded,success
Sustainability-Report-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/Sustainability-Report-2023.pdf'.
No link,No link,No link
p240321.pdf,Successfully downloaded,success
sap-annual-report-2023.pdf,Successfully downloaded,success
sustainability-and-governance-report.pdf,Successfully downloaded,success
240221-strategic-report-2023.pdf,Successfully downloaded,success
240221-esg-datapack-2023.pdf,Successfully downloaded,success
240226-annual-report-and-accounts-2023.pdf,Successfully downloaded,success
2023_NEE_Sustainability_Report_Final.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/2023_NEE_Sustainability_Report_Final.pdf'.
annual-report-2022-2023.pdf,Successfully downloaded,success
annual-report-2022-2023.pdf,Successfully downloaded,success
prosus-annual-report2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/prosus-annual-report2023.pdf'.
2023-qualcomm-corporate-responsibility-report.pdf,Successfully downloaded,success
Unilever-Climate-Transition.pdf,Successfully downloaded,success
2023-Boeing-Sustainability-Report.pdf,Successfully downloaded,success
sustainability-report-fy2023.pdf,Successfully downloaded,success
No link,No link,No link
business-impact-report-2023.pdf,Successfully downloaded,success
2023-Intuitive-ESG-Report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/2023-Intuitive-ESG-Report.pdf'.
servicenow-global-impact-esg-fact-sheet-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/servicenow-global-impact-esg-fact-sheet-2023.pdf'.
