file_name,info
AAPL.OQ_FY2022_2022 ESG Report.pdf,Successfully downloaded
MSFT.OQ_FY2022_Sustainable Development Goals Report 2022.pdf,Successfully downloaded
MSFT.OQ_FY2022_Global Diversity & Inclusion Report 2022.pdf,Successfully downloaded
GOOGL.OQ_FY2022_Google Environmental Report 2022.pdf,Successfully downloaded
NVDA.OQ_FY2022_2022 NVIDIA CORPORATE RESPONSIBILITY REPORT.pdf,Successfully downloaded
XOM.N_FY2022_Sustainability Report.pdf,Successfully downloaded
"WMT.N_FY2022_Environmental, Social and Governance Summary Report FY2022.pdf",Successfully downloaded
"AVGO.OQ_FY2022_2022Environmental,Social & GovernanceReport.pdf",Successfully downloaded
PG.N_FY2022_2022 Citizenship report.pdf,Successfully downloaded
ASML.AS_FY2022_ANNUAL REPORT 2022.pdf,Successfully downloaded
NOVOb.CO_FY2022_Novo Nordisk Annual Report 2022.pdf,Successfully downloaded
RO.S_FY2022_Annual Report 2022.pdf,Successfully downloaded
"BABA.N_FY2022_Environmental, Social,and Governance Report 2022.pdf",Successfully downloaded
COST.OQ_FY2022_Sustainability Commitment.pdf,Successfully downloaded
BAC.N_FY2022_Annual Report 2022.pdf,Successfully downloaded
NOVN.S_FY2022_Integrated Report 2022.pdf,Successfully downloaded
"CSCO.OQ_FY2022_Strategy, goals, and emissions data.pdf",Successfully downloaded
AZN.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
AMD.OQ_FY2022_2021-22CORPORATERESPONSIBILITYREPORT SUMMARY.pdf,Successfully downloaded
0941.HK_FY2022_2021 可持续发展报告.pdf,Successfully downloaded
SAPG.DE_FY2022_2022 SAP Sustainability Report.pdf,Successfully downloaded
"WFC.N_FY2022_Environmental, Social, and Governance Report 2022.pdf",Successfully downloaded
0005.HK_FY2022_Strategic Report 2022.pdf,Successfully downloaded
0005.HK_FY2022_ESG Datapack 2022.pdf,Successfully downloaded
0005.HK_FY2020_Annual Report and Accounts 2022.pdf,Successfully downloaded
"NEE.N_FY2022_Environmental, Social and Governance Report 2022.pdf",Successfully downloaded
TCS.NS_FY2021_Integrated Annual Report 2021-2022.pdf,Successfully downloaded
TCS.NS_FY2022_Integrated Annual Report FY 2021-2022.pdf,Successfully downloaded
PRX.AS_FY2022_Prosus annual report 2022.pdf,Successfully downloaded
QCOM.OQ_FY2022_2022 Qualcomm Corporate Responsibility Report.pdf,Successfully downloaded
ULVR.L_FY2022_Sustainable Development Goals Report 2022.pdf,Successfully downloaded
BA.N_FY2022_2022 SUSTAINABILITY REPORT.pdf,Successfully downloaded
SIEGn.DE_FY2021_Sustainability Report 2022.pdf,Successfully downloaded
UNP.N_FY2022_2022 CLIMATE ACTION PLAN.pdf,Successfully downloaded
DE.N_FY2022_2022 Sustainability Report.pdf,Successfully downloaded
ISRG.OQ_FY2022_ESG Report 2022.pdf,Successfully downloaded
NOW.N_FY2022_GLOBAL IMPACTREPORT 2022.pdf,Successfully downloaded
"CBA.AX_FY2022_2022 Sustainability performance metrics, Independent Limited Assurance Report and definitions.pdf",Successfully downloaded
CBA.AX_FY2022_2022 Annual Report.pdf,Successfully downloaded
DTEGn.DE_FY2022_Deutsche Telekom AG Sustainability Day 2022.pdf,Successfully downloaded
RIO.AX_FY2022_Sustainability Glossary 2022.pdf,Successfully downloaded
3690.HK_FY2022_2022 骑手权益保障社会责任报告.pdf,Successfully downloaded
TJX.N_FY2022_2022 GLOBAL CORPORATE RESPONSIBILITY REPORT.pdf,Successfully downloaded
8306.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
8306.T_FY2022_Independent Assurance Report.pdf,Successfully downloaded
8306.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
DGE.L_FY2022_ESG Reporting Index 2022.pdf,Successfully downloaded
ADP.OQ_FY2022_Global Corporate Social Responsibility ReportIssued: March 2022.pdf,Successfully downloaded
EQNR.OL_FY2022_2022Energy transition plan.pdf,Successfully downloaded
ABNB.OQ_FY2022_Airbnb Corporate Sustainability Update.pdf,Successfully downloaded
"ICBK.NS_FY2022_ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2021-22.pdf",Successfully downloaded
