code,name,title,filename,create_date,q,custom_id,position,link
AAPL.OQ,Apple Inc,Apple's 2023 Environmental Progress Report,AAPL.OQ_FY2022_20230418AppleInc-CorporateResponsibility2023-4-18WC000000003009065206.pdf,2023-04-12,Apple Inc Apple's  Environmental Progress Report 2024  filetype:pdf,0,1.0,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf
MSFT.OQ,Microsoft Corp,2022 Data Fact Sheet,MSFT.OQ_FY2022_2022 Data Fact Sheet.pdf,2023-04-25,Microsoft Corp Data Fact Sheet 2023  filetype:pdf,1,1.0,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW1g0Xl
MSFT.OQ,Microsoft Corp,2022 Environmental Sustainability Report,MSFT.OQ_FY2022_2022 Environmental Sustainability Report.pdf,2023-04-25,Microsoft Corp Environmental Sustainability Report 2023  filetype:pdf,2,1.0,https://news.microsoft.com/wp-content/uploads/prod/sites/42/2023/05/2022-Environmental-Sustainability-Report.pdf
TSLA.OQ,Tesla Inc,,TSLA.OQ_FY2022_Impact Report 2022.pdf,2023-04-23,Tesla Inc Impact Report 2023  filetype:pdf,3,1.0,https://www.tesla.com/ns_videos/2023-tesla-impact-report-highlights.pdf
TSLA.OQ,Tesla Inc,,TSLA.OQ_FY2022_20230424TeslaInc-CorporateResponsibility2023-4-24WC000000003009416353.pdf,2023-04-23,Tesla Inc sustainability report 2023  filetype:pdf,4,1.0,https://www.tesla.com/ns_videos/2022-tesla-impact-report-highlights.pdf
V.N,Visa Inc,"2022 Environmental, Social & Governance Report ","V.N_FY2022_2022 Environmental, Social & Governance Report.pdf",2023-05-09,"Visa Inc Environmental, Social & Governance Report 2023  filetype:pdf",5,1.0,https://usa.visa.com/content/dam/VCOM/regional/na/us/about-visa/esg/2023-visa-cdp-response.pdf
JPM.N,JPMorgan Chase & Co,2022 Environmental Social Governance Report,JPM.N_FY2022_2022 Environmental Social Governance Report.pdf,2023-04-12,JPMorgan Chase & Co Environmental Social Governance Report 2023  filetype:pdf,6,1.0,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2023.pdf
XOM.N,Exxon Mobil Corp,Investing in people 2022,XOM.N_FY2022_20230307ExxonMobilCorp-CorporateResponsibility2023-3-07SD000000003005608636.pdf,2023-03-06,Exxon Mobil Corp Investing in people 2023  filetype:pdf,7,1.0,https://corporate.exxonmobil.com/-/media/global/files/sustainability/social/investing-in-people-2023.pdf
0700.HK,Tencent Holdings Ltd,,"0700.HK_FY2022_ENVIRONMENTAL, SOCIAL ANDGOVERNANCE REPORT 2022.pdf",2023-04-06,"Tencent Holdings Ltd ENVIRONMENTAL, SOCIAL ANDGOVERNANCE REPORT 2023  filetype:pdf",8,1.0,https://static.www.tencent.com/uploads/2024/04/08/a041eba55b96c7952e26180a2c7cdd28.pdf
NESN.S,Nestle SA,,NESN.S_FY2022_Creating Shared Value and Sustainability Report 2022.pdf,2023-03-20,Nestle SA Creating Shared Value and Sustainability Report 2023  filetype:pdf,9,1.0,https://www.nestle.com/sites/default/files/2024-02/creating-shared-value-sustainability-report-2023-en.pdf
