code,name,title,filename,fy,q,custom_id,position,link
MSFT.OQ,Microsoft Corp,Environmental Data Fact Sheet 2022 ,MSFT.OQ_FY2022_2022 Environmental Sustainability Report.pdf,2022,Microsoft Corp Environmental Data Fact Sheet 2023  filetype:pdf,0,1.0,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW1lmju
2222.SE,Saudi Arabian Oil Co,Aramco Sustainability Report 2022 ,2222.SE_FY2022_Aramco Sustainability Report 2022.pdf,2022,Saudi Arabian Oil Co Aramco Sustainability Report 2023  filetype:pdf,1,1.0,https://www.aramco.com/-/media/images/investors/annual-report/2023/ara-2023-sustainability-english.pdf
GOOGL.OQ,Alphabet Inc,Google Supplier Responsibility Report 2023 ,GOOGL.OQ_FY2022_20231121AlphabetInc-CorporateResponsibility2023-11-21WC000000003027254139.pdf,2022,Alphabet Inc Google Supplier Responsibility Report 2024  filetype:pdf,2,1.0,https://abc.xyz/assets/b4/e1/141b66943c338236198ce76ee724/3a1a10373869afdd368fa7e2b27562ba.pdf
GOOGL.OQ,Alphabet Inc,Environmental Report 2023 ,GOOGL.OQ_FY2022_2023 Environmental Report.pdf,2022,Alphabet Inc Environmental Report 2024  filetype:pdf,3,1.0,https://abc.xyz/assets/9c/12/c198d05b4f7aba1e9487ba1c8b79/goog-10-q-q1-2024.pdf
AMZN.OQ,Amazon.com Inc,2022 Amazon Sustainability Report ,AMZN.OQ_FY2022_2022 Amazon Sustainability Report.pdf,2022,Amazon.com Inc Amazon Sustainability Report 2023  filetype:pdf,4,1.0,https://sustainability.aboutamazon.com/2022-sustainability-report.pdf
TSLA.OQ,Tesla Inc,Impact Report 2022 ,TSLA.OQ_FY2022_Impact Report 2022.pdf,2022,Tesla Inc Impact Report 2023  filetype:pdf,5,1.0,https://www.tesla.com/ns_videos/2023-tesla-impact-report-highlights.pdf
TSLA.OQ,Tesla Inc,Impact Report 2022 ,TSLA.OQ_FY2022_20230424TeslaInc-CorporateResponsibility2023-4-24WC000000003009416353.pdf,2022,Tesla Inc Impact Report 2023  filetype:pdf,6,1.0,https://www.tesla.com/ns_videos/2023-tesla-impact-report-highlights.pdf
FB.OQ,Meta Platforms Inc,2023 Meta Responsible Business Practices Report ,FB.OQ_FY2022_2023 Meta Responsible Business Practices Report.pdf,2022,Meta Platforms Inc Meta Responsible Business Practices Report 2024  filetype:pdf,7,1.0,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001326801/c0c08a49-7def-4086-bf1a-17e1cc951344.pdf
FB.OQ,Meta Platforms Inc,2023 Meta Sustainability Report ,FB.OQ_FY2022_2023 Sustainability Report.pdf,2022,Meta Platforms Inc Meta Sustainability Report 2024  filetype:pdf,8,1.0,https://sustainability.fb.com/wp-content/uploads/2024/02/2023_Meta_CDP_Climate-Change-Survey.pdf
V.N,Visa Inc,"2022 Environmental, Social & Governance Report ","V.N_FY2022_2022 Environmental, Social & Governance Report.pdf",2022,"Visa Inc Environmental, Social & Governance Report 2023  filetype:pdf",9,1.0,https://usa.visa.com/content/dam/VCOM/regional/na/us/about-visa/documents/2022-environmental-social-governance-report.pdf
